longitude	latitude	MAC	comment	last-seen
10.71031	59.91649	notyet	head	2013-11-16
10.71102	59.92485	notyet	capitol	2013-11-13
10.740001	59.933524	notyet	kjetilho	2013-11-14
10.75087	59.91456	notyet	toresbe	2013-11-13
10.75206	59.91911	unknown	Hackeriet	2012-06-01?
10.75682	59.91527	notyet	phed	2013-11-19
10.76032	59.92461	notyet	mortenmk	2013-11-13
10.76037	59.91595	notyet	Tvilling	2013-11-16
10.7643699	59.9112805	notyet	knuty	2013-11-25
10.76762	59.94164	notyet	effbiai	2013-11-19
10.77247	59.95047	12:fe:ed:84:73:63	pere	2013-11-27
10.77278	59.95092	10:fe:ed:84:64:a5	hgb	2013-11-27
10.77281	59.95068	64:66:b3:42:68:42	pere	2013-11-27
10.77686	59.94341	notyet	sjn	2013-11-25
10.78241	59.92582	notyet	dash	2013-11-13
10.78271	59.91499	notyet	Tvilling	2013-11-16
10.7867576	59.9237515	20:10:7a:15:21:09	oka	2013-11-12
10.787412	59.904047	unknown	BFG1981	2013-11-11
10.789682	59.932000	unknown	kid	2013-11-26
10.82750	59.85630	notyet	OsteHovel	2013-11-16
10.84172	59.91830	notyet	martbo	2013-11-16
10.84864	60.10778	notyet	espegro	2013-11-13
10.850001	59.947245	00:13:ef:d0:0e:f0	olekvi	2013-11-16
10.853032	59.886224	notyet	ior   2013-11-28
10.86792	59.96304	notyet	ambientsound	2013-11-16
10.89199	59.95741	notyet	tobixen	2013-11-26
10.89909	59.96735	notyet	des	2013-11-15
10.90595	59.97024	notyet	morjo via effbiai	2013-11-19
